name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"NumParticles","Steps"
"LJNaive/10",10,217.741,217.737,ms,,,,,,100,100
"LJNaive/20",1,1640.05,1640.02,ms,,,,,,400,100
"LJNaive/30",1,9517.34,9517.04,ms,,,,,,900,100
"LJNaive/40",1,45844.5,45842.9,ms,,,,,,1600,100
"LJNaive/50",1,153288,153283,ms,,,,,,2500,100
"LJThirdLaw/10",10,83.3789,83.3741,ms,,,,,,100,100
"LJThirdLaw/20",1,807.018,806.977,ms,,,,,,400,100
"LJThirdLaw/30",1,5070.98,5070.81,ms,,,,,,900,100
"LJThirdLaw/40",1,21123.2,21122.6,ms,,,,,,1600,100
"LJThirdLaw/50",1,71220.8,71218.5,ms,,,,,,2500,100
"LJNaiveCutoff/10",43,36.1398,36.1386,ms,,,,,,100,100
"LJNaiveCutoff/20",3,478.763,478.746,ms,,,,,,400,100
"LJNaiveCutoff/30",1,1630.69,1630.63,ms,,,,,,900,100
"LJNaiveCutoff/40",1,5213.32,5213.09,ms,,,,,,1600,100
"LJNaiveCutoff/50",1,15105.4,15104.8,ms,,,,,,2500,100
"LJThirdLawCutoff/10",76,20.3444,20.3434,ms,,,,,,100,100
"LJThirdLawCutoff/20",6,267.987,267.975,ms,,,,,,400,100
"LJThirdLawCutoff/30",1,905.298,905.258,ms,,,,,,900,100
"LJThirdLawCutoff/40",1,2887.18,2887.06,ms,,,,,,1600,100
"LJThirdLawCutoff/50",1,8269.54,8269.25,ms,,,,,,2500,100
"LJLCNaive/10",20,77.2117,77.2079,ms,,,,,,100,100
"LJLCNaive/20",4,344.031,344.022,ms,,,,,,400,100
"LJLCNaive/30",1,655.088,655.085,ms,,,,,,900,100
"LJLCNaive/40",1,1228.62,1228.58,ms,,,,,,1600,100
"LJLCNaive/50",1,2272.59,2272.5,ms,,,,,,2500,100
"LJLCThirdLaw/10",34,42.5819,42.5799,ms,,,,,,100,100
"LJLCThirdLaw/20",7,202.986,202.976,ms,,,,,,400,100
"LJLCThirdLaw/30",2,667.557,667.527,ms,,,,,,900,100
"LJLCThirdLaw/40",1,1102.61,1102.52,ms,,,,,,1600,100
"LJLCThirdLaw/50",1,1774.88,1774.82,ms,,,,,,2500,100
