name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"NumParticles","Steps"
"LJLCNaive/10",19,77.5,77.4954,ms,,,,,,100,100
"LJLCNaive/20",4,350.22,350.194,ms,,,,,,400,100
"LJLCNaive/30",1,667.842,667.804,ms,,,,,,900,100
"LJLCNaive/40",1,1216.47,1216.33,ms,,,,,,1600,100
"LJLCNaive/50",1,2205.64,2205.49,ms,,,,,,2500,100
"LJLCNaive/60",1,3812.36,3812.05,ms,,,,,,3600,100
"LJLCNaive/70",1,6298.49,6298.02,ms,,,,,,4900,100
"LJLCNaive/80",1,9975.23,9974.46,ms,,,,,,6400,100
"LJLCNaive/90",1,15188.1,15187,ms,,,,,,8100,100
"LJLCNaive/100",1,22313.2,22311.5,ms,,,,,,10000,100
"LJLCNaive/110",1,31708.8,31706.8,ms,,,,,,12100,100
"LJLCNaive/120",1,44139.2,44136.3,ms,,,,,,14400,100
"LJLCNaive/130",1,59745.8,59741.8,ms,,,,,,16900,100
"LJLCNaive/140",1,79461.7,79456.3,ms,,,,,,19600,100
"LJLCNaive/150",1,103574,103567,ms,,,,,,22500,100
"LJLCNaive/160",1,132909,132901,ms,,,,,,25600,100
"LJLCNaive/170",1,167991,167980,ms,,,,,,28900,100
"LJLCNaive/180",1,210019,210007,ms,,,,,,32400,100
"LJLCNaive/190",1,259107,259092,ms,,,,,,36100,100
"LJLCNaive/200",1,316832,316822,ms,,,,,,40000,100
"LJLCThirdLaw/10",33,43.7969,43.7946,ms,,,,,,100,100
"LJLCThirdLaw/20",7,201.187,201.182,ms,,,,,,400,100
"LJLCThirdLaw/30",2,686.315,686.292,ms,,,,,,900,100
"LJLCThirdLaw/40",1,1117.82,1117.8,ms,,,,,,1600,100
"LJLCThirdLaw/50",1,1771.69,1771.65,ms,,,,,,2500,100
"LJLCThirdLaw/60",1,2805.3,2805.28,ms,,,,,,3600,100
"LJLCThirdLaw/70",1,4349.82,4349.69,ms,,,,,,4900,100
"LJLCThirdLaw/80",1,6579.94,6579.77,ms,,,,,,6400,100
"LJLCThirdLaw/90",1,9974.48,9974.36,ms,,,,,,8100,100
"LJLCThirdLaw/100",1,14332.1,14331.8,ms,,,,,,10000,100
"LJLCThirdLaw/110",1,19880.3,19879.8,ms,,,,,,12100,100
"LJLCThirdLaw/120",1,27090.8,27090.3,ms,,,,,,14400,100
"LJLCThirdLaw/130",1,36756.4,36755.6,ms,,,,,,16900,100
"LJLCThirdLaw/140",1,47970.3,47969.1,ms,,,,,,19600,100
"LJLCThirdLaw/150",1,62280.2,62278.3,ms,,,,,,22500,100
"LJLCThirdLaw/160",1,79795,79792.4,ms,,,,,,25600,100
"LJLCThirdLaw/170",1,100499,100496,ms,,,,,,28900,100
"LJLCThirdLaw/180",1,126495,126490,ms,,,,,,32400,100
"LJLCThirdLaw/190",1,155843,155836,ms,,,,,,36100,100
"LJLCThirdLaw/200",1,189727,189719,ms,,,,,,40000,100
